Country name,year,Life Ladder,Log GDP per capita,GINI index (World Bank estimate),,,,,Actual GDP Value ,Log GDP per capita
Zambia,2015,4.843164444,8.21005249,0.571,,,,,3479.518469,8.21005249
Botswana,2015,3.761964798,9.658858299,0.533,,,,,14671.73497,9.658858299
Brazil,2015,6.546896935,9.602869987,0.513,,,,,13878.10421,9.602869987
Colombia,2015,6.387571812,9.481479645,0.511,,,,,12301.74582,9.481479645
Panama,2015,6.605550289,9.943744659,0.508,,,,,19470.23198,9.943744659
Honduras,2015,4.845436573,8.354058266,0.496,,,,,4014.560615,8.354058266
Costa Rica,2015,6.854004383,9.589950562,0.484,,,,,13701.15478,9.589950562
Benin,2015,3.624664307,7.594452858,0.478,,,,,1887.868637,7.594452858
Chile,2015,6.532749653,10.01042557,0.477,,,,,20803.42563,10.01042557
Paraguay,2015,5.559724331,9.310740471,0.476,,,,,10382.83749,9.310740471
Bolivia,2015,5.834329128,8.770962715,0.467,,,,,6074.009852,8.770962715
Ecuador,2015,5.964075089,9.278398514,0.46,,,,,10054.60256,9.278398514
Dominican Republic,2015,5.061862469,9.526417732,0.452,,,,,12863.27078,9.526417732
Philippines,2015,5.547489166,8.831692696,0.444,,,,,6451.67089,8.831692696
Peru,2015,5.577263355,9.402711868,0.434,,,,,11375.98956,9.402711868
Togo,2015,3.768301964,7.291141987,0.431,,,,,1396.800727,7.291141987
Turkey,2015,5.514465332,10.05670929,0.429,,,,,21782.11138,10.05670929
Ivory Coast,2015,4.445038795,8.078746796,0.415,,,,,3054.067473,8.078746796
Malaysia,2015,6.322121143,10.14212799,0.41,,,,,23710.81633,10.14212799
Kenya,2015,4.357617855,7.936611176,0.408,,,,,2651.956961,7.936611176
El Salvador,2015,6.018496037,8.850637436,0.406,,,,,6574.220702,8.850637436
Uruguay,2015,6.628080368,9.900735855,0.402,,,,,18656.00658,9.900735855
Indonesia,2015,5.04279995,9.245594025,0.397,,,,,9732.272052,9.245594025
Serbia,2015,5.317685127,9.571193695,0.396,,,,,13448.26133,9.571193695
Iran,2015,4.749955654,9.722171783,0.395,,,,,15624.01388,9.722171783
China,2015,5.303877831,9.513022423,0.386,,,,,12693.25956,9.513022423
Myanmar,2015,4.223846436,8.523227692,0.381,,,,,4749.102904,8.523227692
Russia,2015,5.995538712,10.10710335,0.377,,,,,22900.14044,10.10710335
Lithuania,2015,5.711378098,10.20514488,0.374,,,,,25242.34564,10.20514488
Georgia,2015,4.121940613,9.105572701,0.365,               ,,,,8468.648651,9.105572701
Spain,2015,6.380663395,10.38460064,0.362,,,,,30167.57641,10.38460064
Greece,2015,5.622519016,10.09140491,0.36,,,,,22545.83932,10.09140491
Thailand,2015,6.201762676,9.63275528,0.36,,,,,14296.23165,9.63275528
Romania,2015,5.777491093,9.936227798,0.359,,,,,19325.40591,9.936227798
Macedonia,2015,4.975589752,9.454176903,0.356,,,,,11972.62378,9.454176903
Portugal,2015,5.080866337,10.18896103,0.355,,,,,24839.82791,10.18896103
Italy,2015,5.847683907,10.44268322,0.354,,,,,31959.14423,10.44268322
Ethiopia,2015,4.573154926,7.325461864,0.35,,,,,1445.236109,7.325461864
Latvia,2015,5.880597591,10.04406643,0.342,,,,,21510.29184,10.04406643
Cyprus,2015,5.439161301,10.33114815,0.34,,,,,28607.70074,10.33114815
Tajikistan,2015,5.124210835,7.889901161,0.34,,,,,2531.730442,7.889901161
Luxembourg,2015,6.701571465,11.44814491,0.338,,,,,86759.0686,11.44814491
Pakistan,2015,4.823194981,8.402712822,0.335,,,,,4213.333458,8.402712822
United Kingdom,2015,6.515445232,10.57156658,0.332,,,,,36323.75628,10.57156658
Tunisia,2015,5.131611824,9.292889595,0.328,,,,,10200.36789,9.292889595
France,2015,6.357625008,10.54101086,0.327,,,,,35237.90843,10.54101086
Estonia,2015,5.628908634,10.22594166,0.327,,,,,25769.18519,10.22594166
Armenia,2015,4.34831953,9.008448601,0.324,,,,,7689.857602,9.008448601
Switzerland,2015,7.572136879,10.9564867,0.323,,,,,53239.17842,10.9564867
Ireland,2015,6.830125332,11.00716209,0.318,,,,,55987.47375,11.00716209
Poland,2015,6.007021904,10.1388464,0.318,,,,,23633.65804,10.1388464
Egypt,2015,4.762538433,9.234304428,0.318,,,,,9623.749664,9.234304428
Germany,2015,7.037137508,10.69292545,0.317,,,,,40977.0389,10.69292545
Croatia,2015,5.205438137,9.953512192,0.311,,,,,19660.04401,9.953512192
Austria,2015,7.07644701,10.69769573,0.305,,,,,41171.65244,10.69769573
Hungary,2015,5.34438324,10.12971592,0.304,,,,,23420.29651,10.12971592
Malta,2015,6.61339426,10.44826603,0.294,,,,,32136.85429,10.44826603
Sweden,2015,7.28892231,10.72982025,0.292,,,,,42506.52988,10.72982025
Kyrgyzstan,2015,4.905375957,8.081330299,0.29,,,,,,
Netherlands,2015,7.324437141,10.75653172,0.282,,,,,,
Denmark,2015,7.514424801,10.73177719,0.282,,,,,,
Belgium,2015,6.904219151,10.64114952,0.277,,,,,,
Norway,2015,7.603433609,11.06708145,0.275,,,,,,
Finland,2015,7.447925568,10.5734663,0.271,,,,,,
Moldova,2015,6.017472267,8.647454262,0.27,,,,,,
Kazakhstan,2015,5.949995041,10.06577873,0.268,,,,,,
Slovakia,2015,6.162004471,10.25405312,0.265,,,,,,
Kosovo,2015,5.077460766,9.122817993,0.265,,,,,,
Czech Republic,2015,6.608017445,10.32893276,0.259,,,,,,
Belarus,2015,5.718907833,9.753775597,0.256,,,,,,
Ukraine,2015,3.964542866,8.917972565,0.255,,,,,,
Slovenia,2015,5.740642071,10.27652359,0.254,,,,,,
Qatar,2015,6.374529362,11.66082859,,,,,,,
Singapore,2015,6.619524956,11.33070278,,,,,,,
Kuwait,2015,6.146031857,11.16003227,,,,,,,
United Arab Emirates,2015,6.568397522,11.09420681,,,,,,,
United States,2015,6.863946915,10.88158035,,,,,,,
Saudi Arabia,2015,6.345491886,10.82907486,,,,,,,
Taiwan Province of China,2015,6.450088024,10.74700737,,,,,,,
Iceland,2015,7.498070717,10.69699669,,,,,,,
Australia,2015,7.309060574,10.69316578,,,,,,,
Bahrain,2015,6.00737524,10.69027519,,,,,,,
Canada,2015,7.412772655,10.67183971,,,,,,,
Japan,2015,5.879684448,10.54096508,,,,,,,
New Zealand,2015,7.418120861,10.46817112,,,,,,,
South Korea,2015,5.780211449,10.43932724,,,,,,,
Israel,2015,7.07941103,10.37674904,,,,,,,
Argentina,2015,6.69713068,9.864933014,,,,,,,
Mexico,2015,6.236287117,9.769680023,,,,,,,
Bulgaria,2015,4.865401268,9.740916252,,,,,,,
Azerbaijan,2015,5.146774769,9.730857849,,,,,,,
Gabon,2015,4.66101265,9.722279549,,,,,,,
Montenegro,2015,5.124921322,9.634935379,,,,,,,
Turkmenistan,2015,5.791460037,9.615293503,,,,,,,
Iraq,2015,4.493377209,9.61340332,,,,,,,
Libya,2015,5.615404606,9.576581955,,,,,,,
South Africa,2015,4.887325764,9.421081543,,,,,,,
Lebanon,2015,5.171971321,9.383223534,,,,,,,
Mongolia,2015,4.982719898,9.335198402,,,,,,,
Bosnia and Herzegovina,2015,5.117177963,9.330212593,,,,,,,
Sri Lanka,2015,4.611606598,9.312680244,,,,,,,
Albania,2015,4.606650829,9.303014755,,,,,,,
Jordan,2015,5.404593468,9.03690052,,,,,,,
Bhutan,2015,5.082128525,9.033617973,,,,,,,
Venezuela,2015,5.568800449,8.90573597,,,,,,,
Morocco,2015,5.163156986,8.899046898,,,,,,,
Guatemala,2015,6.464986801,8.894630432,,,,,,,
India,2015,4.342079163,8.65581131,,,,,,,
Congo (Brazzaville),2015,4.690830231,8.648604393,,,,,,,
Nigeria,2015,4.932914734,8.645749092,,,,,,,
Uzbekistan,2015,5.972364426,8.637493134,,,,,,,
Vietnam,2015,5.076315403,8.632033348,,,,,,,
Nicaragua,2015,5.924112797,8.485815048,,,,,,,
Palestinian Territories,2015,4.695239067,8.38471508,,,,,,,
Syria,2015,3.46191287,8.346226692,,,,,,,
Ghana,2015,3.985916138,8.239318848,,,,,,,
Mauritania,2015,3.922664165,8.222205162,,,,,,,
Cambodia,2015,4.162164688,8.098687172,,,,,,,
Bangladesh,2015,4.633473873,8.080761909,,,,,,,
Cameroon,2015,5.037964821,8.078248978,,,,,,,
Yemen,2015,2.982673883,8.041980743,,,,,,,
Senegal,2015,4.61700058,8.00697422,,,,,,,
Tanzania,2015,3.660597324,7.868391037,,,,,,,
Zimbabwe,2015,3.70319128,7.827642918,,,,,,,
Nepal,2015,4.812436581,7.805830956,,,,,,,
Chad,2015,4.322675228,7.62667942,,,,,,,
Mali,2015,4.582098484,7.561347485,,,,,,,
South Sudan,2015,4.070771217,7.554810047,,,,,,,
Guinea,2015,3.504693508,7.528192997,,,,,,,
Rwanda,2015,3.483108997,7.481260777,,,,,,,
Afghanistan,2015,3.982854605,7.476808071,,,,,,,
Uganda,2015,4.237686634,7.467144012,,,,,,,
Haiti,2015,3.569762468,7.41072464,,,,,,,
Burkina Faso,2015,4.418930054,7.375465393,,,,,,,
Madagascar,2015,3.592514038,7.227784634,,,,,,,
Sierra Leone,2015,4.908617973,7.190077305,,,,,,,
Liberia,2015,2.701591253,7.111452103,,,,,,,
Mozambique,2015,4.549767494,7.054690838,,,,,,,
Malawi,2015,3.86763835,7.041021824,,,,,,,
Niger,2015,3.671453714,6.80618763,,,,,,,
Congo (Kinshasa),2015,3.902741671,6.699368,,,,,,,
North Cyprus,2015,5.842550278,,,,,,,,
Somalia,2015,5.353644848,,,,,,,,
